,Tweet,Hasil Preprocessing,Positif,Negatif,Sentimen,Numbered Sentimen
165,"Gak sangka...

Baru nyoba, ternyata MRT Jakarta justru lebih bagus dari MRT Negara2 maju lain di luar negeri euy. Setidaknya dari yang pernah saya naikin sih, seperti di Hongkong, sebagian China, Malaysia, bahkan... https://t.co/YT3WKC3rHd",gak sangka nyoba mrt jakarta bagus mrt negara maju negeri euy naikin sih hongkong china malaysia,2,0,positif,1
166,"@amasna @alandakariza @JeniusConnect Yah anjir kayak php banget bang wkwkwkwkwk. Gw baru mau jalan-jalan karena punya jenius naek MRT Jakarta. Udah seneng, pas buka kecewa wkwkwkwk.",yah anjir kayak php banget bang wkwkwkwkwk gw jalan jalan jenius naek mrt jakarta udah seneng pas buka kecewa wkwkwkwk,3,1,positif,1
167,"liburan saya kamis, 18-07-2019 bersama istri menikmati keindahan jakarta yang bersih dan indah rapih. Awal dari lenteng agung saya naik busway jurusan Lebak Bulus - UI harga terjangkau 3.500/orang di lebak bulus naik MRT jurusan HI. Senang bangga.
#7dayschallege
#jakartabersih https://t.co/ARWfghgcm1",liburan kamis istri menikmati keindahan jakarta bersih indah rapih lenteng agung busway jurusan lebak bulus ui harga terjangkau orang lebak bulus mrt jurusan hi senang bangga,9,0,positif,1
168,"kayaknya mrt itu transportasi paling cepat di jakarta saat ini, tp knp orang orang masih buru buru aja sih",kayaknya mrt transportasi cepat jakarta tp knp orang orang buru buru aja sih,1,0,positif,1
169,"@mohmahfudmd Saya suka moda transportasi di jakarta sekarang ini pak, selain KAI yg sdh banyaj berbenah baik kelas ekonomi maupun eksekutif, dan moda lainnya, bersyukur sekali, Indonesia tdk kalah dgn Eropa sekarang, Paris punya metto, kita punya MRT, eropa punya tram kita punya Trans.",suka moda transportasi jakarta kai sdh banyaj berbenah kelas ekonomi eksekutif moda bersyukur indonesia tidak_kalah dgn eropa paris metto mrt eropa tram trans,3,0,positif,1
170,Integrasi MRT Jakarta danÂ Transjakarta https://t.co/U2WuVgfn7k https://t.co/RR3N8noVnw,integrasi mrt jakarta transjakarta,1,0,positif,1
171,"@itdpindonesia Di Jakarta, bikin MRT dan underpass lebih cepat dari pada bikin jalur prioritas sepeda",jakarta bikin mrt underpass cepat bikin jalur prioritas sepeda,1,0,positif,1
172,"also ingin mengapresiasi transportasi umum jakarta yang udah makin baik, busway & mrt udh terintegrasi itu sangat memudahkan! glodok yg sbenernya jauh bgt jd ga kerasa jauh krn akses transportasi publiknya gampang. semoga akses ke semua tempat di jakarta bisa semudah ini!",also mengapresiasi transportasi jakarta udah busway mrt udh terintegrasi memudahkan glodok sbenernya bgt jd tidak_kerasa krn akses transportasi publiknya gampang semoga akses jakarta semudah,4,0,positif,1
173,"@narpen Untung gue belom bolak balik dr gerbong ke gerbong, wkwk... gila iiihhhh gak nyangkaaa akhirnya jakarta punya MRT (scara pameran simulasi gerbongnya udah dr tahun 2013 di citos, waktu itu bilangnya realisasi 2017)",untung gue belom bolak dr gerbong gerbong wkwk gila iiihhhh tidak_nyangkaaa jakarta mrt scara pameran simulasi gerbongnya udah dr citos bilangnya realisasi,2,1,positif,1
174,Kayaknya seru juga bisa di mrt jakarta atau commuter line~~ https://t.co/kV6BIDMAL1,kayaknya seru mrt jakarta commuter line,1,0,positif,1
175,"just info, moga MRT jakarta juga bisa, jadi gue rajin naik MRT hahaha @JeniusConnect https://t.co/FAstbpjGTi",just info moga mrt jakarta gue rajin mrt hahaha,1,0,positif,1
176,@goenrock @amasna @JeniusConnect Mrt jakarta pembangunan nya lebih murah,mrt jakarta pembangunan nya murah,1,0,positif,1
177,@priskhacaroline punyaa kok mandiri keren begambar bs dipakai di MRT jakarta hhaha,punyaa mandiri keren begambar bs dipakai mrt jakarta hhaha,2,0,positif,1
178,"MRT JAKARTA / COMUTER LINE GIMNA NIH?

KEREN BGT DONG KLO BISA

@JeniusConnect https://t.co/zxmJ1Ff8LX",mrt jakarta comuter line gimna nih keren bgt klo,1,0,positif,1
179,"@edysaputra90 Hai kak, 
MRT Jakarta menyediakan tempat parkir di Stasiun Fatmawati, posisinya bearada di belakang kantor camat cilandak.",hai kak mrt jakarta menyediakan parkir stasiun fatmawati posisinya bearada kantor camat cilandak,1,0,positif,1
180,"@adriansyahyasin Di jakarta tahun 50an sudah ada trem, tapi presiden soekarno berpendapat kalau trem tidak cocok dengan jakarta. Makanya trem di hapuskan dan di ganti kereta bawah tanah saja tapi baru terealisasi skrg dengan adanya MRT",jakarta an trem presiden soekarno berpendapat trem tidak_cocok jakarta trem hapuskan ganti kereta tanah terealisasi skrg mrt,1,0,positif,1
181,"MRT Jakarta semakin ramah akan pejalan kaki dan sepeda
#MRTJakarta #ITDP #infrastruktur #transportasi #beritaterbaru #beritaterkini #propertiterkini https://t.co/HxQe2ZEtQH https://t.co/CQL5jifSHP",mrt jakarta ramah pejalan kaki sepeda,1,0,positif,1
182,"@askfess Bgr ngedate enak parah di babakan lebak beuh, di bandung daerah bukit mekar indah juara, di jakarta ke mrt bolak balik aja adem",bgr ngedate enak parah babakan lebak beuh bandung daerah bukit mekar indah juara jakarta mrt bolak aja adem,5,0,positif,1
183,"@abubantimoh @jokowi Lalu,, Jakarta mana Jakarta ini,, katanya bulan depan (Nop 2018) tp belum ada yang bisa update daerah DKI kalau soal sampah ada manfaatnya untuk panas menghasilkan tenaga listrik sudah lama ada jadi ini bukan karena Anis. Contoh
MRT saja sudah lama sekali tp baru skrg realisasi",jakarta jakarta nop tp belum_ada update daerah dki sampah manfaatnya panas menghasilkan tenaga listrik anis contoh mrt tp skrg realisasi,3,1,positif,1
184,"yuyur udah berapa kali pun naik MRT di Jakarta, aku tu masih suka amazed loh :ââ) pertama kali nyoba yg di luar itu pas di Hong Kong kemarin, dan waktu itu MRT Jakarta udah trial run...",yuyur udah kali mrt jakarta tu suka amazed loh kali nyoba pas hong kong kemarin mrt jakarta udah trial run,3,0,positif,1
185,"Hari ini naik nyobain MRT Jakarta! Suka deh, boleh gak di kopo juga ada MRT???",nyobain mrt jakarta suka deh tidak_di kopo mrt,1,0,positif,1
186,Yg naik mrt jakarta kok keren2 gayanya..,mrt jakarta keren gayanya,1,0,positif,1
187,"First time using Jakarta MRT.. All I can think is ""wow""

Klo public transportation di Jakarta kayak gini standarnya,, gw mau banget sih transisi ke kendaraan umum",first time using jakarta mrt all i can think is wow klo public transportation jakarta kayak gini standarnya gw banget sih transisi kendaraan,1,0,positif,1
188,"moots yang tinggal di Jakarta, untuk transportasi krl,mrt,transjakarta gtgt enaknya pake brizzi/flazz? ato kartu yg lain , dan yg ga ribet kl mau top up nya gt pls",moots tinggal jakarta transportasi krl mrt transjakarta gtgt enaknya pake brizzi flazz ato kartu tidak_ribet kl top up nya gt pls,1,0,positif,1
189,"@liranti Kartu tersebut tersedia di halte-halte Transjakarta dan bisa digunakan di halte-halte Transjakarta, layanan Jak Lingko dan MRT Jakarta. Terima kasih",kartu tersedia halte halte transjakarta halte halte transjakarta layanan jak lingko mrt jakarta terima kasih,1,0,positif,1
190,"Terinspirasi Jakarta, Badung Wacanakan Bangun Proyek MRT https://t.co/rCUxQkxLUE",terinspirasi jakarta badung wacanakan bangun proyek mrt,1,0,positif,1
191,Nemu musik asik di backsoundnya btpvlog #10 - pertama kali coba MRT Jakarta,nemu musik asik backsoundnya btpvlog kali coba mrt jakarta,1,0,positif,1
192,"Berhasil impersonate announcer MRT Jakarta. Trus sedikit bisa impers announcer Jepang. Paling hafal ya ""Tsugi wa"" sama ""mamonaku""",berhasil impersonate announcer mrt jakarta trus impers announcer jepang hafal ya tsugi wa mamonaku,1,0,positif,1
193,"MRT Jakarta.. akhirnya nyobain juga.. yihiii...

#mrt #mrtjakarta @ MRT CP-104 Senayan Station https://t.co/Vz89q0lLc4",mrt jakarta nyobain yihiii mrt cp senayan station,1,0,positif,1
194,"Akhirnya nyobain MRT Jakarta.. yeayy.. 

#mrt #mrtjakarta @ MRT Jakarta https://t.co/epNDc6ZgOG",nyobain mrt jakarta yeayy mrt jakarta,1,0,positif,1
195,"mantap MRT akan tembus sampai ke Jakarta utara. Ingatnya ini dananya pakai pemerintah pusat, jadi gak boleh klam keberhasilan anis. @LisaAmartatara3 @ardi_riau 

https://t.co/AUTdAhYVIU",mantap mrt tembus jakarta utara ingatnya dananya pakai pemerintah pusat tidak_boleh klam keberhasilan anis riau,2,0,positif,1
196,"Telat bgt gasiii kalo baru terharu, jakarta finally punya mrt loh a-k-h-i-r-n-y-a-h",telat bgt gasiii kalo terharu jakarta finally mrt loh a k h i r n y a h,1,0,positif,1
197,Aku warga Bandung yang main ke Jakarta ngerasa angkutan umum kaya TJ sama MRT itu ngebantu bgt. Kenapa orang Jakarta masih naik mobil ya?,warga bandung main jakarta ngerasa angkutan kaya tj mrt ngebantu bgt orang jakarta mobil ya,1,0,positif,1
198,"Ini cerita soal kenorakan saya naik MRT Jakarta. Asli loh gembira dan senang. 

https://t.co/KdfcKWi2QB",cerita kenorakan mrt jakarta asli loh gembira senang,3,0,positif,1
199,"Memang model kursi ala MRT Jakarta, adalah model kursi paling adil. Karena, tiap penumpang bakal memakan ruang duduk sesuai porsi mereka masing-masing. Makanya suka jengkel sih kalo ada orang yang sebenernya ruang duduknya ga lebar tapi jd lebar gara2 duduknya ngangkang.??",model kursi ala mrt jakarta model kursi adil penumpang memakan ruang duduk sesuai porsi suka jengkel sih kalo orang sebenernya ruang duduknya tidak_lebar jd lebar gara duduknya ngangkang,3,0,positif,1
200,"#RT @kumparan: Untuk menjaga agar tetap tertib di MRT maupun di stasiun @mrtjakarta, PT MRT Jakarta akan memberlakukan sejumlah peraturan baru. Mari dijaga bersama-sama, gaes. Jangan jagain jodoh orang doang~ #TopNews https://t.co/VSIO2Fw5Au https://t.co/OwpjEB5EQN",menjaga tertib mrt stasiun pt mrt jakarta memberlakukan peraturan mari dijaga gaes jagain jodoh orang doang,1,0,positif,1
201,Hore! 12 Kereta MRT dari Jepang Akhirnya Tiba di Jakarta https://t.co/nfkP8TVRn2,hore kereta mrt jepang jakarta,1,0,positif,1
202,"@AtomicDz_ @rifandaputri Kalopun antusias, gakan cukup mrt, kereta, busway, menampung seluruh warga kalo bener2 gada yg naik motor. Menurut gue intinya angkutan umum di Jakarta msh kurang memadai.
Contohnya busway, msh ada yg tumpah ruah di jalan jg, make jalan umum. Jakarta belum sesiap harapan.",kalopun antusias gakan mrt kereta busway menampung warga kalo bener gada motor gue intinya angkutan jakarta msh memadai contohnya busway msh tumpah ruah jalan jg make jalan jakarta belum_sesiap harapan,3,0,positif,1
203,"Didn't expect the mrt gonna be that nice, berasa ga di Jakarta ??",didn t expect the mrt gonna be that nice berasa tidak_di jakarta,2,0,positif,1
204,"@TheArieAir Wahhhh jadi beneran Jakarta udah kembali ke masa2 saya masih bujang nih,padahal pas dua THN lalu kesana udah lumayan loh,malah sempat ""nonton"" jalur MRT yg blm jadi??",wahhhh beneran jakarta udah bujang nih pas thn kesana udah lumayan loh nonton jalur mrt blm,2,0,positif,1
205,"Terimakasih Pak @jokowi dan semua pihak yang terlibat dalam MRT, setidaknya bisa merasakan sedikit âSingapuraâ di Jakarta ??",terimakasih terlibat mrt merasakan singapura jakarta,1,0,positif,1
206,"Beberapa lokasi di Jakarta, terutama di kawasan Jalan Sudirman-Thamren-Medan Merdeka, menawarkan keindahan ibukota. Memang tidak semuanya. Tentu ini masih berkaitan dengan MRT yang menjadi bagian infrastruktur ibukota.",lokasi jakarta kawasan jalan sudirman thamren medan merdeka menawarkan keindahan ibukota tidak_semuanya berkaitan mrt infrastruktur ibukota,2,0,positif,1
207,"@tubirfess perasaan kendaraan umum di jakarta kaya tj, krl, mrt murah deh",perasaan kendaraan jakarta kaya tj krl mrt murah deh,2,0,positif,1
208,"@tubirfess wkwkw kamu warga jakarta? atau baru jadi warga jakarta :o
kok aku suka suka aja ya naik busway, naik mrt, naik krl :o mau jauh pun suka suka aja aku",wkwkw warga jakarta warga jakarta o suka suka aja ya busway mrt krl o suka suka aja,4,0,positif,1
209,"Aku bukan orang Jakarta cuma beberapa kali pernah main ke Jakarta, tapi mau nanya apa emang krl/ mrt/ busway selalu sepenuh itukah sampe pada lebih milih pake kendaraan pribadi? Padahal aku waktu itu naik busway sama krl jauh lebih cepet sih dibanding pake pribadi/ ojol. https://t.co/V6bw4sIaIV",orang jakarta kali main jakarta nanya emang krl mrt busway sepenuh sampe milih pake kendaraan pribadi busway krl cepet sih dibanding pake pribadi ojol,1,0,positif,1
210,berkat 30 org teroris masup jakarta akhirnya bisa menjadi EO ketemunya 2 sexy killer di MRT wkwkkwkwk,berkat org teroris masup jakarta eo ketemunya sexy killer mrt wkwkkwkwk,1,0,positif,1
211,"Selalu takjub setiap naik MRT, karena masih ga nyangka Jakarta udah seberkembang ini dalam rentang waktu kurang lebih 3 tahun. Selanjutnya akan seperti apa ya? Surprise me, Jakarta!",takjub mrt tidak_nyangka jakarta udah seberkembang rentang ya surprise me jakarta,1,0,positif,1
212,"First time naik mrt bener2 bersih banget, dingin bgt disetiap stasiun, petugas nya ramah2, fasilitasnya memadai dan yg pasti keren, Jakarta gak kalah keren pokoknya punya mrt seperti di negara2 luar sana mantap! https://t.co/ny0PJK1mKG",first time mrt bener bersih banget dingin bgt disetiap stasiun petugas nya ramah fasilitasnya memadai keren jakarta tidak_kalah keren pokoknya mrt negara mantap,7,1,positif,1
213,"call me norak or whatsoever but iâm really amazed with Jakarta MRT. 

pertama kali jd lgsg ngejudge âih kenapasi ga teraturâ pas liat antusiasme masyarakat thdp transportasi umum yg baru ada di jkt ini. 

ternyata makin kesini, makin rapih  & bersih. semua butuh penyesuaian ?????? https://t.co/auoEPVOBCR",call me norak or whatsoever but i m really amazed with jakarta mrt kali jd lgsg ngejudge ih kenapasi tidak_teratur pas liat antusiasme masyarakat thdp transportasi jkt kesini rapih bersih butuh penyesuaian,5,1,positif,1
214,"pengen deh bisa bantu ngurangin polusi di Jakarta ini, pengen kemana mana naik angkutan umum aja. cobain kali ya besok naik migo/mrt seharian @EfIlham ??",pengen deh bantu ngurangin polusi jakarta pengen kemana angkutan aja cobain kali ya besok migo mrt seharian,3,2,positif,1
215,"Btw mrt Jakarta bagus jg eh, g kalah ma yg d korea wkwkwkwk",btw mrt jakarta bagus jg eh g kalah ma d korea wkwkwkwk,1,0,positif,1
216,"@AsikinHidup Semoga jakarta ini ga macet lg, apalagi udh ada mrt dan krl, juga lg dibangun lrt. Semoga warga jakarta bisa memanfaatkan transportasi umum yg udh disediakan pemerintah. ???? #VisiIndonesia",semoga jakarta tidak_macet lg udh mrt krl lg dibangun lrt semoga warga jakarta memanfaatkan transportasi udh disediakan pemerintah,3,0,positif,1
217,"@fianiraa @mrtjakarta haduh hebat orang palembang udah nyobain mrt di jakarta, ngga kayak saya",haduh hebat orang palembang udah nyobain mrt jakarta tidak_kayak,1,0,positif,1
218,"Perdana naik MRT di Jakarta, bangga banget bisa sebagus dan serapih itu, Jakarta rasa Luar Negeri, terima kasih ya pak @basuki_btp ??.",perdana mrt jakarta bangga banget sebagus serapih jakarta negeri terima kasih ya btp,1,0,positif,1
219,@tubirfess emang bener kok nder. lagian pilihan transportasi umum di jakarta kan banyak ya dan mnurut gua udh bagus dan nyaman sih contohnya tj atau mrt gt. cuman pasti pada gengsi aja buat naik kendaraan umum,emang bener nder pilihan transportasi jakarta ya mnurut gua udh bagus nyaman sih contohnya tj mrt gt cuman gengsi aja kendaraan,3,0,positif,1
220,Wagelase Jakarta menyenangkan sekali transportasi umumnya dari kosan ke Mayestik (pp) naik MRT + babang grab/gojek promo 1rb rupiah saja. Tapi tapi bawa bahan total 38 meter capek giwlaaaa,wagelase jakarta menyenangkan transportasi kosan mayestik pp mrt babang grab gojek promo rb rupiah bawa bahan total meter capek giwlaaaa,2,1,positif,1
221,"cobain naik MRT ke blok M , ????????, tinggal cobain  LRT , keren jakarta ku ???????????????????? #mrtjakarta #jakartakeren #banggadiindonesia https://t.co/pcbWHCVUaP",cobain mrt blok m tinggal cobain lrt keren jakarta ku,1,0,positif,1
222,"Menjelang sore, setelah ratusan purnama terlewati akhirnya kesampaian juga menjajal moda transportasi umum paling hits di Ibukota, inilah dia Jakarta Mass Rapid Transit (MRT). Mampir di Stasiun Fatmawati, stasiun favoritnya @nisyahdu https://t.co/iSDk239RVY",menjelang sore ratusan purnama terlewati menjajal moda transportasi hits ibukota jakarta mass rapid transit mrt mampir stasiun fatmawati stasiun favoritnya,2,0,positif,1
223,Yuk perkaya lagi Jakarta dengan karya-karya seni seperti mutal di tunnel Stasiun MRT Dukuh Atas dan mari kita jaga bersama kebersihan dan keamanan. Hayo semangat jajaran @DKIJakarta https://t.co/4QHgGlh2b4,yuk perkaya jakarta karya karya seni mutal tunnel stasiun mrt dukuh mari jaga kebersihan keamanan hayo semangat jajaran,4,0,positif,1
224,"MRT Jakarta Raup Pendapatan Rp50,4 Miliar: https://t.co/DMGdwvBTjA - PT MRT Jakarta mengantongi 30 persen dari target pendapatan sebesar Rp168 miliar di sepanjang tahun ini. Pendapatan yang diperoleh berasal dari penjualan tiket. Hitung punya hitung,â¦ https://t.co/Fs1mP72rzT https://t.co/xMnxoknzq7",mrt jakarta raup pendapatan rp miliar pt mrt jakarta mengantongi persen target pendapatan rp miliar pendapatan diperoleh berasal penjualan tiket hitung hitung,1,0,positif,1
225,"@kaesangp @4Y4NKZ Saya warga Jakarta. 
Saya tau banget MRT.
Tapi saya juga belum pernah naik MRT.
Saya gak tau apakah saya harus bersedih atau bersahaja. 
Sungguh saya tidak tau. 
Kalok Mas @kaesangp sendiri bagaimana? 

https://t.co/D5GUXzdB23",warga jakarta tau banget mrt belum_pernah mrt tidak_tau bersedih bersahaja sungguh tidak_tau kalok mas,2,0,positif,1
226,MRT Jakarta Evaluasi Stasiun yang Masih Sepi Penumpang https://t.co/C1FHRi4Qxj,mrt jakarta evaluasi stasiun sepi penumpang,1,0,positif,1
227,"@jokowi Serasa spt di LN kt pa Prabowo bersama pa Jokowi.
Sebelumnya BTP pun bilang MRT Jakarta lebih bagus dari LN...??",serasa spt ln kt pa prabowo pa jokowi btp bilang mrt jakarta bagus ln,1,0,positif,1
228,"Pak btw btw bwt, berkat MRT, kini kalau ada teman datang dari luar Jakarta sudah tidak pusing lagi mau ajak kemana.

Tinggal ajakin naik MRT.

Hehe. https://t.co/Ou0kBV7U7Q",btw btw bwt berkat mrt teman jakarta tidak_pusing ajak kemana tinggal ajakin mrt hehe,2,1,positif,1
229,waaa akhirnya naik mrt jakarta!!! bagus bgt kaco!!! gak nyangka Indonesia bisa punya beginian??!!!,waaa mrt jakarta bagus bgt kaco tidak_nyangka indonesia,1,0,positif,1
230,Naik @mrtjakarta pakai e-money dari @IDCorners lebih mudah sekarang.,pakai e money mudah,1,0,positif,1
231,Dapet kembalian nya dolar semuaaa.. @mrtjakarta Untung sukaaa naik @mrtjakarta,dapet kembalian nya dolar semuaaa untung sukaaa,1,0,positif,1
232,"Lope banget kantor di jakarta kota ujung mau naik tije dan krl masih kosong, transit2 nya gampang, sejalur lg sama mrt. Ah lope",lope banget kantor jakarta kota ujung tije krl kosong transit nya gampang sejalur lg mrt ah lope,3,0,positif,1
233,jadi tadi naik mrt.. trus turun di senayan.. *fyi jarang banget bisa jalan di trotoar jakarta. dan noraknya gue bagus banget jakarta ternyata kalo rapih begini:ï¿½) *mrtnya juga keren banget geng.. sampe pengen naik lagi.. semoga sampe seterusnya mrt bisa rapih dan sebagus ini,mrt trus turun senayan fyi jarang banget jalan trotoar jakarta noraknya gue bagus banget jakarta kalo rapih mrtnya keren banget geng sampe pengen semoga sampe mrt rapih sebagus,6,1,positif,1
234,"@mrtjakarta Saya klo Naik MRt Dari lebak bulus motor saya kudu taro di alfamart depan tangga, saran saya buatlah kantong parkir Yang dekat jaraknya Dan layak klo hujan naik Ke MRT gak kuyup, kenapa gak pasang atap sepanjang jalan poins square menuju MRT yaa??",klo mrt lebak bulus motor kudu taro alfamart tangga saran buatlah kantong parkir jaraknya layak klo hujan mrt tidak_kuyup tidak_pasang atap jalan poins square mrt yaa,1,0,positif,1
235,Tarif mah ga masalah. Kalau liat kualitas. Tapi enggak ada park n ride di setiap stasiun. Kalau naik transportasi umum lain ke stasiun waktu jadi lebih lama.. Mudah mudahan akan tersedia park n ride minimal untuk motor di tiap stasiun,tarif mah tidak_masalah liat kualitas tidak_ada park n ride stasiun transportasi stasiun mudah mudahan tersedia park n ride minimal motor stasiun,3,1,positif,1
236,"Kemarin naik MRT dari Istora ke Blok M, lanjut naik busway turun LPPI Kemang. Gitu aja aku terharu loh, Jakarta udah mudah aksesnya",kemarin mrt istora blok m busway turun lppi kemang gitu aja terharu loh jakarta udah mudah aksesnya,2,1,positif,1
237,"masih jaman naik motor gunain dong transportasi umum @mrtjakarta bersih, santay, anjay, mantay, terimakasih MRT",jaman motor gunain transportasi bersih santay anjay mantay terimakasih mrt,2,0,positif,1
238,"serunya naik mrt jakarta dengan lokasi strategis daerah perkantoran, saya bisa sekalian cuci mata.",serunya mrt jakarta lokasi strategis daerah perkantoran cuci mata,1,0,positif,1
239,"Hari ini ke klien nyobain naik MRT. Lebih cepat, hemat, dan lebih sedikit panas-panasan @mrtjakarta",klien nyobain mrt cepat hemat panas panasan,3,0,positif,1
240,"Haha sorry gue rada kampung , baru pertama naik MRT dan cuman 1 kata ""amajiiinnnggg"" @mrtjakarta , jujur bangga bgt sih ....",haha sorry gue rada kampung mrt cuman amajiiinnnggg jujur bangga bgt sih,2,0,positif,1
241,"Bagi Kami Masyrakat Jakarta, LRT dan MRT adalah Mahakarya",masyrakat jakarta lrt mrt mahakarya,1,0,positif,1
242,Terwujudnya light rail transit (LRT) dan mass rapid transit (MRT) di Jakarta sangat ditunggu oleh masyarakat.,terwujudnya light rail transit lrt mass rapid transit mrt jakarta ditunggu masyarakat,1,0,positif,1
243,"Akhirnya pagi tadi mencoba @mrtjakarta Blok M - Lebak Bulus Lebak Bulus - Senayan. Sangat bersih dan nyaman, fasilitas juga lengkap.",pagi mencoba blok m lebak bulus lebak bulus senayan bersih nyaman fasilitas lengkap,3,0,positif,1
244,"Dear @mrtjakarta, mohon ibu yg duduknya santai banget ini ditegur dong, ada petugas gtu yg patroli, ini bkn jam sibuk, petugas bisa keliling spt commuterline.",dear mohon duduknya santai banget ditegur petugas gtu patroli bkn jam sibuk petugas keliling spt commuterline,2,0,positif,1
245,Situasi stasiun @mrtjakarta Bund. HI kemarin sore. Kesan nyaman dan aman terasa banget.,situasi stasiun bund hi kemarin sore kesan nyaman aman banget,2,0,positif,1
246,"Akhirnya berkesempatan untuk nyobain peradaban barunya Jakarta alias MRT. Bersih, nyaman, dan cepat. Semoga rutenya bisa diekspansi ke berbagai penjuru Jakarta sehingga semua masyarakat bisa punya akses yang setara untuk menikmati moda transportasi yang keren ini.",berkesempatan nyobain peradaban barunya jakarta alias mrt bersih nyaman cepat semoga rutenya diekspansi penjuru jakarta masyarakat akses setara menikmati moda transportasi keren,6,0,positif,1
247,@mrtjakarta Di stasiun MRT Dukuh Atas. Kondisi bersih dan nyaman. Hanya masih kurang adanya tempat sampah...,stasiun mrt dukuh kondisi bersih nyaman sampah,2,0,positif,1
248,"sama ketika naik mrt di Singapura, sore ini coba naik mrt di Jakarta, nyaman, aman dan tepat waktu",mrt singapura sore coba mrt jakarta nyaman aman,2,0,positif,1
249,"Stasiun Bundaran HI penuh sekali dan juga haus, minum air putih aja sudah berasa di surga. Wkwkwk #mrtjakarta",stasiun bundaran hi penuh haus minum air putih aja berasa surga wkwkwk,2,1,positif,1
250,"Baru kemarin sempet nyobain MRT nya Jakarta, wah bagus ya hehe berasa kaya lagi di Luar negeri, itï¿½s a good thing. Dan cuma 12 ribu kemarin bolak balik, istora, blok a, fatmawati. Mari di jaga bareng bareng ya fasilitas umum/transportasi umum nya",kemarin sempet nyobain mrt nya jakarta bagus ya hehe berasa kaya negeri it s a good thing ribu kemarin bolak istora blok a fatmawati mari jaga bareng bareng ya fasilitas transportasi nya,3,0,positif,1
251,Kata siapa bahagia itu mahal.. Senang melihat mereka senyum naik @mrtjakarta,bahagia mahal senang senyum,3,1,positif,1
252,Asyiknya berangkat kerja naik @mrtjakarta,asyiknya berangkat kerja,1,0,positif,1
253,"Sekali naik mrt , udah serasa di tokyo japan aja wkwk . Support your local transportation @mrtjakarta",mrt udah serasa tokyo japan aja wkwk support your local transportation,1,0,positif,1
254,Ada yang bisa tebak ini distasiun mana? Kalo yang sering naik transportasi umum terutama MRT pasti tau banget gak sengaja sambil lewat motret ternyata menarik jg Seneng liat Jakarta punya banyak tempat baru,tebak distasiun kalo transportasi mrt tau banget tidak_sengaja motret menarik jg seneng liat jakarta,2,0,positif,1
255,"Senang rasanya ketika melihat bagian dari keluarga besar ikut senang dan bahagia, walaupun hanya mengajak untuk naik @mrtjakarta begitu indah melihat senyuman ini",senang keluarga senang bahagia mengajak indah senyuman,4,0,positif,1
256,"Pak Gub @aniesbaswedan anak sy yg bungsu suka naik @mrtjakarta, tentu sy harus dampingi jelaskan apa itu MRT fungsinya apa, dan yg paling penting pengguna @mrtjakarta wajib tertib dan menjaga kebesihan.",gub anak sy bungsu suka sy dampingi mrt fungsinya pengguna wajib tertib menjaga kebesihan,2,0,positif,1
257,"Kalo liat stasiun MRT di China dalem banget, jadi bersyukur kalo MRT di Jakarta gak dalem2 bgt.",kalo liat stasiun mrt china dalem banget bersyukur kalo mrt jakarta tidak_dalem bgt,1,0,positif,1
258,Naik MRT Jakarta. Biar ikutan kekinian. Di stasiun Fatmawati paling atas tampias ujan sp masuk ke ruang tunggu.. jadi anak sy pake payung duduk di ruang tunggu. Keren Jakarta sdh Terwujud punya MRT. semoga di rawat dengan baik. Jangan di rusak.. #mrtjakarta @jokowi,mrt jakarta biar ikutan kekinian stasiun fatmawati tampias ujan sp masuk ruang tunggu anak sy pake payung duduk ruang tunggu keren jakarta sdh terwujud mrt semoga rawat rusak,3,1,positif,1
259,"jujur ngga kapok naik transportasi publik lg, seharian pulang-pergi naik mrt & metrotrans & pedestrian walk-nya nyaman sekali .. hehe selalu suka Jakarta bagian sini",jujur tidak_kapok transportasi publik lg seharian pulang pergi mrt metrotrans pedestrian walk nya nyaman hehe suka jakarta,3,0,positif,1
260,"Berangkat lari biar ga macet naik @mrtjakarta , bayar goceng 10 menitan juga nyampe lah. Balik lari jalanan lengang, naik @PT_TransJakarta gratis dong. Cinta Jakarta sangat #mrtjakarta #transjakarta #lovejakarta",berangkat lari biar tidak_macet bayar goceng menitan nyampe lari jalanan lengang transjakarta gratis cinta jakarta,4,0,positif,1
261,Terima kasih @mrtjakarta Saya tidak pernah menyangka dari Bendungan Hilir atau Karet menuju Lebak Bulus bisa ditempuh hanya dalam 22 menit. Transjakarta S21 jalurnya padat merayap mulai dari Pondok Indah. Kalau naik MRT walau tidak duduk tetap terasa nyaman.,terima kasih tidak_pernah menyangka bendungan hilir karet lebak bulus ditempuh menit transjakarta s jalurnya padat merayap pondok indah mrt tidak_duduk nyaman,3,0,positif,1
262,"Enjoy menikmati perjalanan naik kRL,bus TJ, dan MRT, menelusuri utara hingga selatan Jakarta...sedikit lama..tapi demi sebuah tulisan menikmatinya,sambil berharap bertemu dengannya",enjoy menikmati perjalanan krl bus tj mrt menelusuri utara selatan jakarta tulisan menikmatinya berharap bertemu dengannya,2,0,positif,1
263,Besok enggak lagi deh naik @CommuterLine Memang @mrtjakarta juara lah,besok tidak_lagi deh juara,1,0,positif,1
